rank,ratio_usd_per_100,website,name,price_usd,value,needs_check,flags,price_outlier_hint,cross_shop_median_usd,eur_per_100_from_usd,usd_to_eur_rate,fx_source,fx_timestamp
165,4.3846,StarPets,Icewing,0.57,13,False,,True,1.64,3.7906,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
166,4.3846,StarPets,Jinglegun,0.57,13,False,,False,0.89,3.7906,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
167,4.3846,StarPets,Lugercane,0.57,13,False,,True,1.39,3.7906,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
168,4.3846,StarPets,Nebula,0.57,13,False,,False,1.19,3.7906,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
169,4.4000,StarPets,Gemstone,0.66,15,False,,False,0.99,3.8039,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
170,4.4167,StarPets,Gingermint,0.53,12,False,,False,1.09,3.8183,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
171,4.4286,StarPets,Pumpking,0.31,7,False,,True,0.69,3.8286,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
172,4.4545,StarPets,Elderwood Revolver,1.47,33,False,,False,2.79,3.8511,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
173,4.4545,StarPets,Iceblaster,1.47,33,False,,False,3.09,3.8511,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
174,4.4571,StarPets,Spectre,1.56,35,False,,True,3.69,3.8533,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
175,4.4706,StarPets,Battleaxe II,0.76,17,False,,False,1.04,3.8650,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
176,4.4912,LOLGA,Xenoknife,12.80,285,False,,False,20.44,3.8828,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
177,4.5000,LOLGA,Amerilaser,0.99,22,False,,False,1.84,3.8904,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
178,4.5000,StarPets,Swirly Gun,0.81,18,False,,False,0.99,3.8904,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
